cell,clat,clon,cell_area,clon180
317,-57.707660447078965,-153.70523449385928,127382937102.75545,-153.70523449385928
318,-57.707660447078965,-147.70523449385928,127382937102.75552,-147.70523449385928
319,-57.707660447078965,-141.7052344938593,127382937102.7538,-141.7052344938593
320,-57.707660447078965,-135.7052344938593,127382937102.75662,-135.7052344938593
321,-57.707660447078965,-129.70523449385928,127382937102.75539,-129.70523449385928
322,-57.707660447078965,-123.70523449385928,127382937102.75482,-123.70523449385928
323,-57.707660447078965,-117.70523449385928,127382937102.75558,-117.70523449385928
324,-57.707660447078965,-111.70523449385928,127382937102.75539,-111.70523449385928
325,-57.707660447078965,-105.70523449385931,127382937102.75404,-105.70523449385931
326,-57.707660447078965,-99.70523449385931,127382937102.75645,-99.70523449385931
327,-57.707660447078965,-93.70523449385928,127382937102.7552,-93.70523449385928
328,-57.707660447078965,-87.70523449385925,127382937102.75652,-87.70523449385925
329,-57.707660447078965,-81.70523449385922,127382937102.7553,-81.70523449385922
330,-57.707660447078965,-75.70523449385925,127382937102.7541,-75.70523449385925
331,-57.707660447078965,-69.70523449385925,127382937102.7565,-69.70523449385925
332,-57.707660447078965,-63.70523449385925,127382937102.75417,-63.70523449385925
333,-57.707660447078965,-57.70523449385928,127382937102.75511,-57.70523449385928
334,-57.707660447078965,-51.70523449385925,127382937102.75673,-51.70523449385925
335,-57.707660447078965,-45.70523449385922,127382937102.75528,-45.70523449385922
336,-57.707660447078965,-39.70523449385925,127382937102.75401,-39.70523449385925
337,-57.707660447078965,-33.70523449385925,127382937102.75659,-33.70523449385925
338,-57.707660447078965,-27.70523449385925,127382937102.75417,-27.70523449385925
339,-57.707660447078965,-21.70523449385928,127382937102.75548,-21.70523449385928
340,-54.49538337362536,-15.936003724628506,127418070261.06184,-15.936003724628506
341,-54.49538337362536,-10.397542186166959,127418070261.06197,-10.397542186166959
342,-54.49538337362536,-4.859080647705412,127418070261.06184,-4.859080647705412
343,-54.49538337362536,0.6793808907561356,127418070261.06184,0.6793808907561356
344,-54.49538337362536,6.217842429217646,127418070261.06094,6.217842429217654
345,-54.49538337362536,11.756303967679175,127418070261.06198,11.756303967679173
346,-54.49538337362536,17.29476550614073,127418070261.0622,17.29476550614072
347,-54.49538337362536,22.833227044602282,127418070261.06203,22.833227044602268
348,-54.49538337362536,28.37168858306381,127418070261.0608,28.371688583063815
349,-54.49538337362536,33.91015012152534,127418070261.06229,33.910150121525334
350,-54.49538337362536,39.44861165998687,127418070261.06091,39.44861165998685
351,-54.49538337362536,44.9870731984484,127418070261.06192,44.9870731984484
352,-54.49538337362536,50.52553473690995,127418070261.0621,50.52553473690995
353,-54.49538337362536,56.06399627537151,127418070261.06198,56.063996275371494
354,-54.49538337362536,61.60245781383303,127418070261.06088,61.60245781383304
355,-54.49538337362536,67.14091935229456,127418070261.06245,67.14091935229456
356,-54.49538337362536,72.67938089075612,127418070261.06181,72.67938089075614
357,-54.49538337362536,78.21784242921765,127418070261.06108,78.21784242921763
358,-54.49538337362536,83.75630396767917,127418070261.06223,83.75630396767917
359,-54.49538337362536,89.29476550614072,127418070261.06213,89.29476550614072
360,-54.49538337362536,94.83322704460228,127418070261.06204,94.83322704460227
